ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
21422,Building construction engineer,PROFESSIONALS,4800,4000,6000,0.8123,0.5357,0.4451,0.8442,0.3184,high,0.1936,moderate,mixed,high,0.7667,direct
24213,Business and financial project management professional,PROFESSIONALS,7693,5500,11006,0.9299,0.7166,0.6324,0.7787,0.2052,moderate,0.4214,high,ai_leveraged,high,0.7667,direct
24212,Business consultant,PROFESSIONALS,8662,4095,11875,0.9299,0.7166,0.7087,0.7520,0.1982,moderate,0.4722,high,ai_leveraged,high,0.7667,direct
24122,Business valuer,PROFESSIONALS,9708,5200,16560,0.6030,0.5927,0.8129,0.7155,0.1757,moderate,0.2905,moderate,ai_leveraged,high,0.8667,direct
22132,Cardiothoracic surgeon,PROFESSIONALS,6294,5938,6882,0.3803,0.9554,0.4377,0.8468,0.0144,very_low,0.1591,moderate,ai_leveraged,medium,0.6333,submajor_fallback
26375,Career coach (counselling),PROFESSIONALS,4415,3826,6630,0.7601,0.8877,0.4809,0.8317,0.0710,low,0.3245,high,ai_leveraged,medium,0.6363,direct
21130,Chemist,PROFESSIONALS,6357,4500,11430,0.6525,0.7308,0.6228,0.7820,0.1373,low,0.2970,moderate,ai_leveraged,medium,0.5775,direct
21711,Chief engineer/Second engineer (ship),PROFESSIONALS,8339,6231,11456,0.3601,0.8378,0.7056,0.7530,0.0440,very_low,0.2129,moderate,ai_leveraged,medium,0.5333,direct
21421,Civil engineer,PROFESSIONALS,6500,4900,8165,0.8123,0.5357,0.5237,0.8167,0.3081,high,0.2279,moderate,mixed,high,0.7667,direct
26341,Clinical psychologist,PROFESSIONALS,5495,4850,7024,0.4651,0.7406,0.5995,0.7902,0.0953,low,0.2065,moderate,ai_leveraged,high,0.8128,direct
21347,Clinical research professional,PROFESSIONALS,8990,6632,13632,0.6915,0.8128,0.7548,0.7358,0.0952,low,0.4242,high,ai_leveraged,high,0.7399,direct
