ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,employment_thousands,employment_basis,employment_tier,bls_proxy_employment,wage_pool_proxy_tier,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,anthropic_calibrated,anthropic_gap,sol_match,jobs_in_demand_match,confidence_level,confidence_score,match_quality,education_label,education_tier,pwm_covered,licensed_profession,foreign_worker_dependency,skillsfuture_eligible
14310,Sports centre manager,MANAGERS,4895,3598,7308,3.7,estimated_sg_submajor,derived_from_official_sg,1.79,external_proxy,0.2845,0.7665,0.4887,0.8290,0.0551,low,0.1066,very_low,stable,true,-0.2415,false,false,medium,0.6229,direct,University Degree,external_proxy,false,false,false,false
12132,Strategic planning manager,MANAGERS,12936,8185,19546,8.5,estimated_sg_submajor,derived_from_official_sg,2.23,external_proxy,0.4522,0.9715,0.7601,0.7340,0.0095,very_low,0.3339,low,ai_leveraged,true,-0.1946,prefix,false,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
13241,Supply and distribution/Logistics/Warehousing manager,MANAGERS,6650,5050,9882,5.1,estimated_sg_submajor,derived_from_official_sg,1.99,external_proxy,0.6472,0.8788,0.4961,0.8263,0.0648,low,0.2822,low,ai_leveraged,true,0.005,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13291,Technical/Engineering services manager (excluding transport),MANAGERS,8684,6034,12391,5.1,estimated_sg_submajor,derived_from_official_sg,7.12,external_proxy,0.5936,0.8690,0.5578,0.8048,0.0626,low,0.2877,low,ai_leveraged,true,-0.159,false,false,high,0.7855,direct,University Degree,external_proxy,false,false,false,false
12123,Training manager,MANAGERS,5960,5214,7270,8.5,estimated_sg_submajor,derived_from_official_sg,6.14,external_proxy,0.6891,0.7219,0.3794,0.8672,0.1662,moderate,0.1887,very_low,ai_leveraged,true,-0.0382,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
13243,Transport/Technical operations manager (except port/shipping operations),MANAGERS,7679,5381,12650,5.1,estimated_sg_submajor,derived_from_official_sg,1.99,external_proxy,0.6472,0.8788,0.5553,0.8056,0.0632,low,0.3159,low,ai_leveraged,true,0.005,false,false,high,0.8333,direct,University Degree,external_proxy,false,false,false,false
14392,Travel agency manager,MANAGERS,7770,5630,11580,3.7,estimated_sg_submajor,derived_from_official_sg,0.99,external_proxy,0.5606,0.7799,0.5346,0.8129,0.1003,low,0.2338,low,ai_leveraged,true,0.189,false,false,high,0.8136,direct,University Degree,external_proxy,false,false,false,false
14324,Wellness centre manager (e.g. hair/beauty/slimming/spa/manicure/massage),MANAGERS,5635,3800,8725,3.7,estimated_sg_submajor,derived_from_official_sg,2.92,external_proxy,0.3442,0.6569,0.5182,0.8186,0.0967,low,0.1172,very_low,stable,true,0.1198,false,false,medium,0.5000,direct,University Degree,external_proxy,false,false,false,false
14202,Wholesale trade manager,MANAGERS,8905,6199,14500,3.7,estimated_sg_submajor,derived_from_official_sg,23.68,external_proxy,0.6611,0.7585,0.5935,0.7923,0.1265,low,0.2976,low,ai_leveraged,true,0.3157,false,false,medium,0.6057,direct,Polytechnic / ITE Diploma,external_proxy,false,false,false,false
24111,Accountant (excluding tax accountant),PROFESSIONALS,5498,4600,6695,5.3,estimated_sg_submajor,derived_from_official_sg,22.12,external_proxy,0.9063,0.3021,0.5806,0.7968,0.5039,very_high,0.1590,very_low,mixed,true,-0.0855,prefix,prefix,high,0.8667,direct,University Degree,external_proxy,false,false,false,false
21213,Actuary,PROFESSIONALS,7572,4987,13484,2.5,estimated_sg_submajor,derived_from_official_sg,1.02,external_proxy,0.8925,0.3520,0.6770,0.7631,0.4413,high,0.2127,low,mixed,true,-0.1791,false,false,high,0.7722,direct,Graduate Degree,external_proxy,false,false,false,false
21471,Aeronautical engineer,PROFESSIONALS,6046,4729,8142,2.5,estimated_sg_submajor,derived_from_official_sg,1.11,external_proxy,0.6279,0.6863,0.5180,0.8187,0.1613,moderate,0.2232,low,ai_leveraged,true,-0.1178,false,false,medium,0.6024,direct,University Degree,external_proxy,false,strict,false,false
